text,category
"Are you a magician? Because whenever I look at you, everyone else disappears",funny
Do you have a Band-Aid? Because I just scraped my knee falling for you,funny
Do you have Wi-Fi? Because I’m really feeling a connection,funny
Are you a parking ticket? Because you’ve got FINE written all over you,funny
Are you French? Because Eiffel for you,funny
Are you a time traveler? Because I see you in my future,funny
Are you a bank loan? Because you’ve got my interest!,funny
Are you a keyboard? Because you’re just my type,funny
Do you like raisins? How about a date?,funny
"Are you a campfire? Because you’re hot, and I want s’more",funny
Is your name Google? Because you have everything I’ve been searching for,funny
Are you made of copper and tellurium? Because you’re Cu-Te,funny
Are you a beaver? Because daaaaam!,funny
"Do you believe in love at first sight, or should I walk by again?",funny
"Are you Australian? Because when I see you, I feel like I’m down under",funny
Is your dad a boxer? Because you’re a knockout!,funny
Are you a snowstorm? Because you’ve just made my heart freeze and melt at the same time,funny
"Do you have a name, or can I call you mine?",funny
Are you a cat? Because you’re purr-fect,funny
Are you a unicorn? Because you’re rare and magical,funny
Are you a donut? Because I’m glazing over you,funny
Are you a vegetable? Because you’re a cutecumber,funny
Are you a 90-degree angle? Because you’re looking right!,funny
Are you a parking lot? Because I’ve been circling around you all day,funny
Are you on a phone charger? Because I’m dying without you,funny
Are you a light bulb? Because you brighten up my day,funny
Do you have a sunbeam? Because you just lit up my world,funny
Are you a pencil? Because you draw me in,funny
Are you a broom? Because you swept me off my feet,funny
Are you a volcano? Because I lava you,funny
Are you a squirrel? Because you just drove me nuts,funny
Are you a snowflake? Because I’ve fallen for you,funny
Do you have a GPS? Because I just got lost in your eyes,funny
Are you a haunted house? Because my heart races every time I see you,funny
Are you a dictionary? Because you add meaning to my life,funny
Are you a photographer? Because I can picture us together,funny
Are you an alien? Because you’ve abducted my heart,funny
Are you a Star Wars fan? Because Yoda one for me,funny
Are you a breakfast cereal? Because you’re magically delicious,funny
Are you a locksmith? Because you’ve just unlocked my heart,funny
Are you a sprinter? Because you’ve been running through my mind all day,funny
Are you a butterfly? Because you make my stomach flutter,funny
Are you caffeine? Because you keep me up all night,funny
Are you a crossword puzzle? Because I’m stuck on you,funny
Are you a rainstorm? Because you make my heart thunder,funny
Are you a chef? Because you’ve cooked up some feelings in me,funny
Are you an artist? Because you just drew me in,funny
Are you a fire alarm? Because you’re making my heart race,funny
Are you a sandwich? Because you’re everything I’ve been craving,funny
Are you a meme? Because you’re worth sharing,funny
Are you a loan? Because you’ve got my interest,clever
Are you a parking ticket? Because you’ve got FINE written all over you,clever
Do you have a map? Because I keep getting lost in your eyes,clever
Are you a keyboard? Because you’re just my type,clever
Are you French? Because Eiffel for you,clever
Do you like science? Because I’ve got my ion you,clever
Are you a Wi-Fi signal? Because I’m feeling a strong connection,clever
Are you a 90-degree angle? Because you’re looking right,clever
"Are you a magician? Because whenever I look at you, everyone else disappears",clever
Are you a photographer? Because you’ve captured my heart,clever
Are you made of copper and tellurium? Because you’re Cu-Te,clever
Are you the square root of -1? Because you can’t be real,clever
Is your name Quantum? Because you make my heart go superposition,clever
Are you a black hole? Because you’ve got me gravitating towards you,clever
"Do you believe in parallel universes? Because in every one, I’d find you",clever
Are you a coding bug? Because you keep crashing my thoughts,clever
Are you Schrödinger’s cat? Because you’re looking alive and dead gorgeous,clever
Are you pi? Because you’re irrationally attractive,clever
Are you a time traveler? Because I can’t imagine my future without you,clever
Is your name Google? Because you have everything I’ve been searching for,clever
Are you a sunset? Because you make everything more beautiful,clever
Are you an architect? Because you just built a home in my heart,clever
"Do you believe in serendipity, or was this meeting planned?",clever
Are you a diamond? Because you shine under pressure,clever
Is your name Tesla? Because you’re electrifying,clever
Are you a fine wine? Because you only get better with time,clever
Are you an artist? Because you just drew me in,clever
Are you a philosopher? Because you’ve made me question everything else,clever
Are you a writer? Because you’ve just written yourself into my story,clever
